address,area,price
文兴东一里-前埔南区,思明,3300
新景花园-软件园,思明,3900
岭兜佳园-软件园,思明,2850
苏公馆-软件园,思明,1600
苏公馆-观音山,思明,1600
苏公馆-瑞景,思明,1600
苏公馆-软件园,思明,1600
都市新巢-莲前,思明,2700
香山海景苑-软件园,思明,3700
宝龙中心一期-嘉禾路,思明,4300
自然家园-火车站,思明,5999
国际文化大厦-富山,思明,3800
米兰春天-湖滨北路,思明,3400
米兰春天-湖滨北路,思明,3300
云顶至尊-瑞景,思明,18000
中山海景广场-中山路,思明,5000
禹洲华侨海景城-鹭江道,思明,6200
宝华花园思明-湖滨北路,思明,4000
宏益大厦-松柏,思明,5500
宏益大厦-松柏,思明,7200
国贸怡和园-松柏,思明,5500
嘉华大厦-长青路,思明,5000
岭兜小区新景花园岭兜一里岭兜二里岭兜佳园明发园明发城香山海景园何厝小区海艺大厦-软件园,思明,3800
新景花园-软件园,思明,3800
新景花园-软件园,思明,3700
尚青春公寓-东浦路,思明,1320
尚青春公寓-东浦路,思明,1540
尚青春国际公寓-东浦路,思明,975
明发园-前埔北区,思明,6000
嘉盛豪园-瑞景,思明,5600
海德花园-富山,思明,1600
联丰新城-瑞景,思明,3400
金磊花园-金鸡亭,思明,4200
都市新巢-莲前,思明,1500
都市新巢-莲前,思明,1500
豆仔苑-湖滨南路,思明,1650
轮船宿舍-禾祥西路,思明,3500
思明区瑞景嘉盛豪园旁洪山柄小区-瑞景,思明,2800
新景花园-软件园,思明,3700
瑞景公园-瑞景,思明,8300
都市新巢-莲前,思明,2700
香山海景苑-软件园,思明,4000
联发滨海名居-会展路,思明,6800
岭兜佳园小区-软件园,思明,3300
新景花园岭兜小区岭兜一里何厝小区香山海景苑岭兜二里岭兜佳园明发园明发城家家海景观音山宝龙一城-软件园,思明,3400
前埔北区一里-前埔北区,思明,2100
印刷厂宿舍-禾祥西路,思明,2400
岭兜二里-软件园,思明,3300
瑞丽花园-瑞景,思明,6500
民盛商厦-瑞景,思明,1398
实验幼儿园旁-中山路,思明,1200
南中广场旁-中山路,思明,600
卧龙晓城-莲前,思明,4300
国贸新城-前埔北区,思明,3000
前埔南区文兴一里-前埔北区,思明,3400
前埔北区一里-莲前东路,思明,3700
国贸汇景-前埔北区,思明,4800
华林绿景花园-莲前东路,思明,3600
侨福城二期-莲前东路,思明,4100
侨福城二期-莲前东路,思明,3200
福满山庄-瑞景,思明,2600
福满山庄-瑞景,思明,1600
新景花园-软件园,思明,3700
家家海景-软件园,思明,1500
新景花园-软件园,思明,3500
嘉滨里-松柏,思明,2800
永升花园-松柏,思明,6500
宝龙中心一期-嘉禾路,思明,4200
宝龙中心二期-嘉禾路,思明,4000
富贵楼-火车站,思明,1700
山木清华-莲前,思明,3800
新景花园-软件园,思明,3600
嘉盛豪园-瑞景,思明,4300
瑞景公园-瑞景,思明,6500
新景花园-观音山,思明,1500
罗宾森璀璨新城1期-火车站,思明,6500
罗宾森璀璨新城1期-火车站,思明,6800
新景花园-软件园,思明,3800
岭兜佳园小区-前埔南区,思明,2600
岭兜佳园小区-前埔南区,思明,2600
大洲国际龙郡-前埔北区,思明,3600
岭兜小区-软件园,思明,3300
香山海景苑-软件园,思明,1500
雍景湾-白城,思明,60000
海峡国际社区三期-会展路,思明,22000
海峡国际社区二期-会展路,思明,4100
联发滨海名居-会展路,思明,6600
联发滨海名居-会展路,思明,6300
新景花园-软件园,思明,3600
