Area,count
中华人民共和国,228
新疆维吾尔自治区,102
西藏自治区,72
台湾省,49
云南省,50
河北省,11
四川省,51
青海省,47
广东省,2
江苏省,2
辽宁省,1
内蒙古自治区,6
天津市,2
黑龙江省,4
山东省,1
甘肃省,9
山西省,1
吉林省,2
贵州省,1
